time,pos1,pos2,vel1,vel2,acc1,acc2,tau1,tau2
12.843090057373047,0.020099322019590166,-0.20576731106184964,0.005924743116682129,-0.022908253197253967,-0.13925189868004148,-1.6303608556690226,-0.0005216917432584489,-0.01211871698480569
12.845090150833128,0.020101321560953796,-0.20579893393570076,0.005448740810356857,-0.027556404256667954,-0.1444786103522383,-1.6394682765835367,-0.0005266618077030257,-0.01212529318212797
12.847090244293211,0.020102114649541494,-0.20583245416958104,0.004955464758980984,-0.03222949044864582,-0.14915229288288936,-1.6450801503064725,-0.0005316782471938519,-0.01213178630715363
12.849090337753296,0.020101588237263764,-0.20586741078087142,0.004446637672872885,-0.036913503673039,-0.1532608202695902,-1.6471844771091693,-0.0005367159775950754,-0.012137950965208765
12.851090431213377,0.020099634372128663,-0.2059032862059524,0.003924072034572974,-0.04159433838790517,-0.15679397022170485,-1.6457801944981525,-0.0005417385219051481,-0.012143511174225593
12.85309052467346,0.020096154032682716,-0.2059395176518291,0.0033896638034431148,-0.04625786218150533,-0.15974345579119142,-1.6408771464573524,-0.0005466989900448717,-0.012148185830845823
12.855090856552124,0.020091060267230856,-0.20597551715194265,0.002845384916855997,-0.05089000033078491,-0.16210295057267682,-1.6324960100748251,-0.0005515429388991714,-0.012151714995529238
12.857091188430786,0.02008428101708653,-0.20601069649112716,0.00229327506657491,-0.055476826799336985,-0.163868107298116,-1.6206681797858749,-0.0005562112393136681,-0.01215388444090753
12.859091281890867,0.020075761581328486,-0.20604449070927544,0.0017354327893597894,-0.06000465023459404,-0.16503656967505256,-1.6054356096832054,-0.0005606417624633715,-0.012154544205452311
12.861091613769531,0.02006546643973642,-0.20607637625914824,0.0011740056800265556,-0.06446008845611592,-0.1656079773427042,-1.586850614559132,-0.0005647711471785811,-0.012153616199560291
12.863091707229614,0.020053380296010632,-0.20610588489374398,0.0006111796924030071,-0.06883013477020429,-0.1655839638467969,-1.5649756305539868,-0.0005685385849758376,-0.012151090492026029
12.865091800689695,0.020039508507481884,-0.2061326168897091,4.916780983137564e-05,-0.07310222436998826,-0.16496814756236208,-1.5398829364891835,-0.0005718914427377795,-0.012147016357707159
12.86709189414978,0.020023877188828754,-0.20615625508885596,-0.0005098014936331819,-0.07726430432527952,-0.16376611552342848,-1.511654337161602,-0.0005747907906578036,-0.01214149528023553
12.869091987609863,0.020006533284490084,-0.2061765771947272,-0.0010634955752318997,-0.08130490179523601,-0.16198540014943924,-1.4803808100660418,-0.000577215522495229,-0.012134677818997628
12.871092081069946,0.019987544854757264,-0.20619346171497024,-0.0016096883885543323,-0.08521318068315684,-0.15963544889012798,-1.4461621171932952,-0.0005791649951825414,-0.012126759894805918
12.873092412948608,0.019967001532007877,-0.20620688480804972,-0.002146170676279289,-0.08897898068522739,-0.15672758684326007,-1.4091063837213562,-0.0005806600447377998,-0.012117972899335513
12.875092506408691,0.019945014610691376,-0.20621690943554258,-0.0026707600796539647,-0.09259284048520713,-0.15327497243274807,-1.3693296455742976,-0.0005817418020937211,-0.01210856754729362
12.877092838287352,0.019921715925127405,-0.20622367044834825,-0.003181311959603174,-0.09604601066033434,-0.14929254626788008,-1.3269553679658397,-0.0005824685085413461,-0.012098797509279956
12.879093408584595,0.01989725490777512,-0.20622735808990847,-0.003675731473162948,-0.09933045985516491,-0.14479697333758296,-1.2821139371723642,-0.0005829114458482291,-0.012088908795055859
12.881093740463257,0.019871793870997276,-0.20622820089056643,-0.004151986790198347,-0.10243887582560428,-0.1398065787266418,-1.2349421278935888,-0.0005831503360410171,-0.012079135592528756
12.88309383392334,0.01984550203680915,-0.2062264492427139,-0.004608122865394533,-0.105364664201796,-0.13434127707316942,-1.1855825486571823,-0.000583267185816542,-0.012069699098686246
12.885093927383423,0.01981854900382992,-0.20622236190251386,-0.005042275048412174,-0.10810194938743779,-0.12842249601787672,-1.134183067805124,-0.0005833377586127401,-0.01206080599824796
12.887094020843504,0.019791098667261812,-0.20621619762097768,-0.00545268155913518,-0.11064558119712568,-0.12207309392588067,-1.0808962226671468,-0.0005834216197246465,-0.012052645764934283
12.889094114303589,0.019763304982395872,-0.2062082127919952,-0.005837693558371118,-0.11299114783751747,-0.11531727219108819,-1.0258786145836516,-0.0005835532923702194,-0.012045388095695142
12.891094207763672,0.019735310507764028,-0.20619866414678986,-0.006195781995663312,-0.1151349925696671,-0.108180482461237,-0.9692902924866346,-0.00058373705074181,-0.012039182188296582
12.893094301223755,0.019707247483082873,-0.20618781421683777,-0.006525541538750294,-0.11707422965187991,-0.10068932914782676,-0.9112941277798221,-0.000583946404400852,-0.012034157958088999
12.895094394683836,0.01967924058805335,-0.20617593744187568,-0.006825692482608523,-0.11880675572201103,-0.09287146760912295,-0.8520551832773058,-0.0005841279085649411,-0.012030426952274707
12.89709448814392,0.019651410741350024,-0.20616332641626567,-0.007095081324406695,-0.12033125570535289,-0.08475549841615558,-0.7917400789639232,-0.0005842081826758296,-0.012028080318257707
12.899094820022585,0.019623879138525015,-0.20615029838524707,-0.007332680806249549,-0.12164720402229484,-0.0763708581312228,-0.7305163573308391,-0.0005841023902838018,-0.012027183787783875
12.901095151901243,0.019596769987921054,-0.20613719935326713,-0.007537590887031155,-0.12275485763969607,-0.06774770704588094,-0.6685518510163001,-0.0005837223356346225,-0.012027772669332918
12.903095245361328,0.019570210497508476,-0.206124400968545,-0.007709041941734436,-0.12365523352092556,-0.05891681434070404,-0.6060140554439738,-0.0005829833295920724,-0.012029849842137508
12.905095338821411,0.019544328139606874,-0.2061122888960988,-0.007846400007114736,-0.12435006879407148,-0.049909441142128516,-0.5430695090992965,-0.0005818097963370775,-0.0120333868583473
12.907095432281494,0.019519246536909875,-0.20610124685851386,-0.007949172622239972,-0.12484177119491034,-0.04075722196248573,-0.4798831840186739,-0.0005801390809827188,-0.012038326289889878
12.909095764160156,0.019495081150723428,-0.20609164143976064,-0.008017014000786984,-0.125133369068653,-0.03149204501797137,-0.416617888989077,-0.000577922494333142,-0.01204458503204742
12.911096096038818,0.019471935199365204,-0.20608380993272726,-0.008049729046790894,-0.12522846593864673,-0.02214593192574466,-0.3534336878680033,-0.0005751239088427412,-0.012052060514969624
12.91309642791748,0.01944989621258484,-0.20607805042876384,-0.008047275814029656,-0.12513119932739128,-0.012750917285340484,-0.29048733533655174,-0.00057171794692765,-0.012060639897146928
12.915096521377563,0.019429033812527814,-0.20607461145530595,-0.00800976589679822,-0.12484619929529447,-0.003338928650900511,-0.22793173229227617,-0.0005676898800775483,-0.012070208159553078
12.917096614837646,0.01940939878030652,-0.2060736791320916,-0.007937462825954615,-0.12437854233012147,0.0060583326006681945,-0.16591540297490562,-0.0005630376446235334,-0.012080650608764355
12.919096708297728,0.019391022959875156,-0.2060753631281419,-0.007830779094412111,-0.12373370107167884,0.015409509004600187,-0.10458199579835498,-0.0005577742599889452,-0.012091848712488513
12.921097040176392,0.01937391994450381,-0.2060796855613131,-0.0076902720324460916,-0.12291749498735777,0.02468370285204253,-0.04406980973775249,-0.0005519284351228158,-0.012103671320496655
12.923097372055052,0.01935808703360344,-0.20608657610817646,-0.007516638160236226,-0.1219360470255316,0.033850589657976105,0.015488652008511752,-0.0005455427850953249,-0.012115965065019718
12.925097465515137,0.01934350875016339,-0.20609587280328912,-0.0073107058130587295,-0.12079574684455965,0.04288052878061439,0.07396709949303021,-0.0005386704117504312,-0.012128548247141862
12.92709755897522,0.019330161783975456,-0.20610732585886324,-0.0070734262312596025,-0.11950321828342961,0.05174467073399502,0.1312458431736324,-0.0005313704529386233,-0.01214121079613656
12.929097652435303,0.019318021119687993,-0.2061206037876128,-0.006805863354988628,-0.11806529170030125,0.06041506075209178,0.18721214942421976,-0.000523703477290341,-0.012153719521166706
12.931097984313965,0.019307066729030393,-0.20613530406334743,-0.006509182882542483,-0.11648898632740909,0.06886473818155689,0.24176056321222592,-0.0005157284672469402,-0.012165825762614331
12.933098077774048,0.01929728945064374,-0.20615097058575937,-0.006184641872290241,-0.11478150727975561,0.07706783130094637,0.29479319688653133,-0.0005075025713395902,-0.01217727353069386
12.93509817123413,0.019288694437354516,-0.20616711705322624,-0.00583358042251999,-0.11295025571614292,0.0849996471865618,0.34621998415262384,-0.0004990829727314647,-0.012187808508178537
12.937098264694212,0.019281300990371154,-0.20618325154098813,-0.005457416571498434,-0.11100284332405905,0.09263675626852079,0.3959588984435194,-0.0004905292121518473,-0.0121971887057934
12.939098358154297,0.019275138517856897,-0.2061988973230184,-0.005057644679264177,-0.10894710142381535,0.0999570712452841,0.4439361350266193,-0.00048190473219374103,-0.012205195964276824
12.94109845161438,0.019270239922684125,-0.20621360963081303,-0.004635835994487417,-0.10679108308413406,0.10693992005063227,0.4900862563196846,-0.00047327716956169924,-0.012211646405354023
12.943098545074461,0.019266635063950655,-0.2062269919609364,-0.004193638764324318,-0.10454306335778452,0.11356611259390836,0.5343523000239342,-0.0004647171884478069,-0.012216398513691558
12.945098638534544,0.01926434643159644,-0.2062387133489483,-0.0037327757275191407,-0.10221153909752365,0.11981800102216122,0.576685849819125,-0.00045629548608816826,-0.012219359132330342
12.947098731994627,0.019263387164991038,-0.20624852272809457,-0.0032550388061193926,-0.09980522192900144,0.12567953328167986,0.6170470685048973,-0.0004480779254888628,-0.012220488392819783
12.949098825454712,0.019263760267345827,-0.2062562548312983,-0.002762282074197434,-0.09733301650774245,0.13113629978635732,0.6554046936152762,-0.00044012042479005904,-0.012219802396574213
12.951098918914793,0.01926545820667853,-0.20626182608038013,-0.0022564137567392295,-0.0948039832161978,0.13617557303136538,0.6917359956794101,-0.0004324666428375183,-0.012217369912245674
12.953099250793455,0.019268462854600047,-0.20626522416390483,-0.0017393872808355339,-0.09222729284032932,0.14078634002272591,0.7260266994516386,-0.00042514999973614857,-0.012213302096281941
12.95509934425354,0.019272745996339352,-0.20626649606794642,-0.0012131911431630129,-0.08961218163698045,0.14495932742639608,0.7582708685874047,-0.00041819833591233126,-0.012207740769229583
12.957099437713625,0.01927827049458104,-0.20626573619355423,-0.0006798375310729718,-0.08696790859496185,0.14868701937414797,0.7884707543971088,-0.0004116384880794625,-0.012200852555682085
12.959100008010864,0.019284991742403498,-0.2062630737929225,-0.00014135013796643135,-0.08430371173748728,0.15196366789763818,0.8166366094669755,-0.00040549976668561406,-0.012192830179325962
12.961100101470947,0.0192928587295988,-0.20625865992691006,0.00040024798111397566,-0.08162876201985743,0.1547852959965843,0.8427864670944464,-0.0003998165542177064,-0.012183895351781332
12.96310019493103,0.019301814418580806,-0.20625265593867315,0.0009429459543053881,-0.07895211666694861,0.15714969338153242,0.8669458876440627,-0.00039463006828092804,-0.012174297078296974
12.965100526809692,0.01931179594161003,-0.2062452250449682,0.0014847562484516068,-0.07628267275602894,0.1590564049658336,0.8891476730862424,-0.0003899892383043987,-0.012164303883535333
12.967100620269775,0.019322735569900367,-0.20623652670642048,0.002023726079077293,-0.07362911829048623,0.16050671221514776,0.9094315511361112,-0.0003859502050188788,-0.012154193005212775
